"id","user","aviso","pedido","pedido_cliente","item","ordem","cliente","quant_a_fat","quant_fat","quant","entrega","data_saida","codprod","descricao","desenho","matriz","statuspv","statusav"
"9285","ANA GABRIELA",NULL,"2254","4515357849","10","7503","WEG_ITAJAI","3",NULL,NULL,"2024-04-05",NULL,"12788015-4","CONTATO FIXO LA DIR 15KV 3.150A CHAPA AL POS.4","10002845522","SIM","0","0"
"9286","ANA GABRIELA",NULL,"2189","4515407656","10","7245","WEG_ITAJAI","156",NULL,NULL,"2024-03-29",NULL,"13588930-1","SUPORTE FACA SEC POS.1","10004229966","SIM","0","0"
"9287","ANA GABRIELA",NULL,"7562","4514742054","20","7562","WEG_ITAJAI","9",NULL,NULL,"2024-04-01",NULL,"14563966","FACA SECC HE 138KV 761,01X80X3,18MM","10005992988","SIM","1","0"
"9288","ANA GABRIELA",,"2292","4514742054","20","7563","WEG_ITAJAI","9",NULL,NULL,"2024-04-01",NULL,"14563966-1","FACA SECC HE 138KV 761,01X80X3,18MM POS.1","10005992649","SIM","0","1"
"9289","ANA GABRIELA","066/24","2292","4514742054","20","7564","WEG_ITAJAI","9",NULL,NULL,"2024-04-01",NULL,"14563966-1.1","FACA SECC HE 138KV 761,01X80X3,18MM POS.1-1","10005992649","SIM","0","1"
"9290","ANA GABRIELA",NULL,"2292","4514742054","20","7565","WEG_ITAJAI","9",NULL,NULL,"2024-04-01",NULL,"14563966-1.2","FACA SECC HE 138KV 761,01X80X3,18MM POS.1-2","10004242677","SIM","0","0"
"9291","ANA GABRIELA",NULL,"2292","4514742054","20","7566","WEG_ITAJAI","9",NULL,NULL,"2024-04-01",NULL,"14563966-2","FACA SECC HE 138KV 761,01X80X3,18MM POS.2","10005189402","SIM","0","0"
"9292","ANA GABRIELA","071/24","2289","4201710009","10","7560","GE_BAT","3",NULL,NULL,"2024-04-05",NULL,"HKHK300598-07","ARVORE DE MANOBRA ZINC L=4000MM","HK300598-XX VAR.07","SIM","0","2"
"9293","ANA GABRIELA",NULL,"2289","4201710009","10","7561","GE_BAT","2",NULL,NULL,"2024-04-05",NULL,"HKHK302602-01","SUPORTE PARA TRANSFORMADOR - DSC","HK302602-01","SIM","0","0"
"9294","ANA GABRIELA",NULL,"2281","4201705784","90","7557","GE_RMG","20",NULL,NULL,"2024-06-12",NULL,"HVHV307164-01","DEFLETOR DO PRIMARIO DI=377 OTEF-245 ITEM-01","HV307164-XX","SIM","1","0"
